ZIP,PARENT_METRO_REGION,market_score,market_category,Median_Income,county_adj,score_adj,max_ltv,MEDIAN_SALE_PRICE,HOMES_SOLD,MEDIAN_DOM
91040,"Los Angeles, CA",72.01631242496707,Prime,41448,-2,2,70,937500.0,36.0,37.0
90002,"Los Angeles, CA",50.79936949112812,Neutral,26039,-2,0,68,575000.0,47.0,70.5
90041,"Los Angeles, CA",83.2772058543009,Prime,48018,-2,2,70,1399500.0,37.0,28.0
91710,"Riverside, CA",77.45346432579184,Prime,40969,-1,2,71,750000.0,123.0,32.5
90265,"Los Angeles, CA",40.30803283979218,Neutral,77274,-2,0,68,3900000.0,27.0,126.5
91792,"Los Angeles, CA",31.275781580876583,Declining,39114,-2,-5,63,1070000.0,3.0,22.0
91701,"Riverside, CA",55.03173086834987,Neutral,46875,-1,0,69,327500.0,3.0,33.0
90049,"Los Angeles, CA",67.6711636899267,Neutral,91316,-2,0,68,3165000.0,130.0,42.0
90037,"Los Angeles, CA",48.80035859428633,Neutral,26747,-2,0,68,670000.0,15.0,36.0
90275,"Los Angeles, CA",48.99886044454057,Neutral,79451,-2,0,68,860000.0,16.0,59.0
90745,"Los Angeles, CA",17.275006090320527,Declining,35300,-2,-5,63,1215000.0,2.0,77.5
92372,"Riverside, CA",38.13415722307904,Neutral,38056,-1,0,69,480000.0,9.0,91.0
90660,"Los Angeles, CA",63.58854585470204,Neutral,35532,-2,0,68,742500.0,40.0,40.0
91006,"Los Angeles, CA",68.61042029125619,Neutral,50204,-2,0,68,1180000.0,9.0,34.0
90606,"Los Angeles, CA",73.83833948384151,Prime,38319,-2,2,70,802000.0,35.0,32.0
92402,"Riverside, CA",,Neutral,,-1,0,69,826750.0,4.0,167.0
91024,"Los Angeles, CA",76.92678725324731,Prime,74829,-2,2,70,1450000.0,16.0,28.5
91722,"Los Angeles, CA",47.30108524671921,Neutral,35228,-2,0,68,705000.0,4.0,21.5
92595,"Riverside, CA",66.4193744291112,Neutral,36767,-1,0,69,629990.0,69.0,50.0
91316,"Los Angeles, CA",63.676841245824114,Neutral,53506,-2,0,68,1050000.0,77.0,43.0
90254,"Los Angeles, CA",66.36270218534384,Neutral,96463,-2,0,68,2480000.0,46.0,32.0
90404,"Los Angeles, CA",26.1553627185412,Declining,47701,-2,-5,63,1073000.0,3.0,107.0
92220,"Riverside, CA",46.19803562219104,Neutral,30146,-1,0,69,270000.0,5.0,26.5
92407,"Riverside, CA",58.52310948756588,Neutral,35105,-1,0,69,284950.0,8.0,64.0
92596,"Riverside, CA",46.41173977878357,Neutral,43477,-1,0,69,474380.0,9.0,59.0
90019,"Los Angeles, CA",62.98268028261682,Neutral,35236,-2,0,68,1690000.0,35.0,51.0
